               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.053326,            0.014664,                   0,             0.62699,              0.4898,             0.46092,             0.16808,             0.05328,            0.010606,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.05217,            0.014319,                   0,             0.59148,             0.62053,             0.56848,              0.1823,            0.050934,           0.0096166,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.051903,            0.013992,                   0,             0.67178,              0.5291,              0.5563,             0.16272,            0.053148,           0.0097302,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.050964,            0.014305,                   0,             0.81378,             0.59184,             0.69113,             0.25178,            0.048952,           0.0090278,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.051433,            0.014056,                   0,             0.57208,             0.53061,             0.49168,               0.154,            0.055121,            0.010229,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.050325,            0.013381,                   0,             0.67161,             0.64626,             0.63509,             0.23609,            0.048692,            0.009049,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.04965,             0.01378,                   0,             0.76408,             0.68027,             0.70676,             0.25544,            0.048319,           0.0089795,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.048193,            0.013053,                   0,             0.77232,              0.6692,             0.71404,             0.23825,            0.049499,           0.0093751,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.049671,            0.013391,                   0,             0.67283,             0.65986,             0.66898,             0.22543,            0.046818,           0.0091305,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.048957,            0.012934,                   0,             0.62227,             0.59864,             0.56247,             0.19644,            0.050397,           0.0089535,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.048828,            0.013945,                   0,             0.76448,             0.68451,             0.64934,             0.24003,            0.047936,           0.0089497,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.04807,            0.012711,                   0,             0.69879,             0.71429,             0.72033,             0.29678,            0.046568,           0.0087569,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.048429,            0.012902,                   0,              0.8523,              0.7066,             0.76608,             0.32152,            0.045825,           0.0082946,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.046774,            0.012599,                   0,             0.84328,             0.56463,             0.66824,             0.26333,            0.050427,           0.0090875,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.04607,            0.012152,                   0,             0.72779,             0.66667,             0.71195,             0.28552,            0.045766,           0.0089053,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.046486,            0.012606,                   0,              0.7791,             0.64626,             0.73178,              0.2836,            0.044888,           0.0086237,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.046337,            0.012889,                   0,             0.79905,             0.70332,             0.77361,             0.30495,            0.045043,           0.0085875,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.04534,            0.012772,                   0,             0.83028,             0.66667,             0.71369,             0.25728,            0.047739,           0.0089104,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.04543,            0.012662,                   0,             0.78351,             0.66667,             0.74029,             0.27193,            0.046243,           0.0089393,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.044111,            0.011956,                   0,             0.79577,             0.71429,             0.75418,             0.28635,            0.045892,           0.0083144,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.044696,            0.012228,                   0,             0.78622,             0.75056,             0.79431,             0.33783,            0.044114,           0.0081292,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.044312,            0.011543,                   0,             0.86965,             0.68027,              0.8139,             0.34342,            0.043561,           0.0082039,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.043925,             0.01202,                   0,             0.84058,             0.67347,             0.72846,             0.31306,            0.044916,           0.0082903,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.045044,            0.011823,                   0,             0.85063,             0.71429,             0.78159,             0.33171,            0.043748,           0.0080415,                   0,            0.003961,            0.003961,            0.003961
